asset_id,asset,owner,priority,target_date,status,format,location_target,detailed_spec,blocker_for
ASSET-11,Apollo.io Basic subscription,Mateusz,P0,2026-06-06,not_started,Apollo Basic,apollo.io,"USD 59/mo (Basic tier). 2500 credits/mo - covers ~500 lead reveals + waterfall enrichment + filters + sequences. DO NOT take Professional (USD 99) - A/Z testing + 4k credits unused for first wave. Use Apollo only for data extraction; sending happens in Instantly.",list build
ASSET-12,Clay.com Free tier (PLAN A) -> Launch USD 185 conditional (PLAN B),Mateusz,P1,2026-06-08,not_started,Clay Free first; Launch only after W3 signal,clay.com,"Start FREE: 500 actions/mo + 100 credits + 200 rows/table. Run personalization-hook A/B on 100-lead test batch (PL-SMB or DE-AGE recommended). DECISION GATE W3: if Clay-hook batch beats unenriched batch on reply rate by >=2pp absolute -> upgrade to Launch USD 185/mo for full wave. Note: previous Starter tier removed; Launch is now cheapest paid plan.",list quality
ASSET-13,MillionVerifier credits (one-time),Mateusz,P0,2026-06-08,not_started,One-time purchase,millionverifier.com,"USD 39 one-time for 10000 verification credits (never expire). Verify every email before send - drop catch-all + risky + invalid. SKIP Automated USD 15/mo tier - we verify in batches not realtime. 480-lead wave uses ~480 credits leaving ~9500 for follow-on waves.",sending start
ASSET-14,Email signature templates (EN/DE/PL),Mateusz,P0,2026-06-08,not_started,HTML signature,inside Google Workspace,"Per language. Name + role + contractor-ops + Cal.com link + website + LinkedIn. NO marketing imagery (kills deliverability). Plain text + 1 hyperlink max.",first send
ASSET-15,Unsubscribe page on brand domain,Mateusz,P0,2026-06-08,not_started,Static page,https://contractor-ops.com/unsubscribe,"Form: email input -> appends to suppression.csv + sends confirmation. Honor request within 7 days (DSGVO + UWG).",GDPR compliance
ASSET-16,DMARC report mailbox + monitor,Mateusz,P1,2026-06-15,not_started,dmarc@contractor-ops.com,Brand domain,Catch-all DMARC aggregate reports for both sending domains; review weekly for unauthorized sources.,sending hygiene
ASSET-17,Brand domain spoofing lockdown,Mateusz,P0,2026-06-06,not_started,DNS update,contractor-ops.com,"Ensure DMARC p=reject + SPF -all on contractor-ops.com so attackers cannot impersonate brand domain in cold mail.",reputation defense
ASSET-18,NL sending domain + Workspace mailbox (wave 1.5),Mateusz,P1,2026-06-08,not_started,Cloudflare + Workspace Starter,contractorops.eu,"Buy contractorops.eu + apply DNS from domains.csv (priority 3) + 1 Workspace Starter mailbox mateusz@contractorops.eu. Start warmup W0 so NL can send ~15 Jul. 18.90 zl/mo promo. Parallel track - does NOT delay 24 Jun.",NL wave 1.5 sending
ASSET-19,Lead magnet LM-01 PL KSeF Readiness Checklist,Mateusz + me,P0,2026-06-12,not_started,1-2 page PDF (Canva/Google Doc),https://contractor-ops.com/pl/ksef-checklist,"15-item deterministic KSeF readiness checklist for B2B-contractor teams. Liability-free (educational). Footer disclaimer. Gated via email form. I draft, PL proofread ~$30. See lead-magnets.md",PL cold CTA + content gate
ASSET-20,Lead magnet LM-02 DE E-Rechnung Readiness-Check,Mateusz + me,P0,2026-06-12,not_started,1-2 page PDF,https://contractor-ops.com/de/erechnung-check,"15-item XRechnung/ZUGFeRD readiness checklist. Liability-free. DE proofread ~$30. See lead-magnets.md",DE cold CTA + content gate
ASSET-21,Lead magnet LM-03 Gulf Saudization Band Self-Calculator,Mateusz + me,P1,2026-06-14,not_started,Google Sheet template OR landing embed,https://contractor-ops.com/sa/saudization-calculator,"Interactive: headcount + Saudi nationals + sector -> current Nitaqat band + distance to next. Arithmetic only, liability-free. Indicative-only disclaimer. See lead-magnets.md",Gulf cold CTA + shareable
ASSET-22,Email signature templates incl EN (EN/DE/PL),Mateusz,P0,2026-06-08,not_started,HTML signature,inside Workspace,"Already noted ASSET-14; ensure EN signature covers UK+Gulf+NL sends from contractorops.io + contractorops.eu. Plain text + Cal link only.",first send
ASSET-23,Golden demo tenant stood up + sandbox connections,Mateusz,P0,2026-06-10,not_started,seeded org,qa-default-org,"Run pnpm seed:qa --profile=showcase. Set KSeF/ZATCA/Peppol/HMRC connections to sandbox/test (NEVER prod - would file real test invoices). This IS the live-call demo. ~30 min. See demo-strategy.md Tier 1.",demo on calls + Loom recording
ASSET-24,DEMO DATA watermark,Mateusz,P1,2026-06-12,not_started,UI badge,conditional on metadata.profile,"~2-4h: show 'DEMO DATA' badge/watermark when org metadata.profile is a demo profile. Prevents fake data mistaken for real + fake company implying real verdict. Gate 3 in demo-strategy.md.",demo hygiene
ASSET-25,Classification-UI positioning reconciliation,Mateusz,P0,2026-06-10,not_started,product decision,classification surfaces,"GATE 1 (demo-strategy.md): product currently outputs binding verdicts (IR35 inside/outside; Scheinselbst red/green) which CONTRADICTS positioning-and-liability.md. Wave 1 = Path A (don't show verdict screens; demo e-invoicing+ops+DRV-defense-bundle PDF). Before scaling classification = Path B (disclaimer + risk-indicator relabel).",blocks showing classification in demo
ASSET-26,Segment-flavoured demo seeds (PL/DE/Gulf),Mateusz,P2,2026-07-05,not_started,extended seed-dev profiles,demo tenants,"WAVE 1.5: 2-3 seed variants - PL software-house data / DE Mittelstand / Gulf Saudization - so live demo matches prospect segment. Medium effort extending seed-dev.ts. See demo-strategy.md Tier 1b.",wave 1.5 demo relevance
ASSET-27,Shared self-serve sandbox,Mateusz,P3,2026-07-15,not_started,gated demo login,demo creds from seed-qa-fixtures,"WAVE 1.5/M2: watermark (ASSET-24) + auto-reset cron in apps/cron-worker (~2-3h) + read-mostly guardrails + integrations forced sandbox + no outbound. Tier 2 in demo-strategy.md.",self-serve exploration
ASSET-28,Demo read-only mode (block all mutations),other-agent,P1,2026-06-12,not_started,tRPC middleware,packages/api,"Server-side: env DEMO_MODE OR demo-org metadata.profile -> block tRPC type==='mutation' across appRouter+portalAppRouter. UI disable = UX only. Full spec: .planning/handoffs/demo-readonly-mode-2026-06-03.md. Handover ready - other agent implements.",demo safety (no writes/outbound)
